Stock,Condition,Status,Type,Year,Model,Length,DryWeight,GVWR,Price,Location,Image
"Stock #18206Kitsap, WA",Used,On Lot,Travel Trailer,2020,"Used 2020 Forest River RV R Pod RP-191Stock #18206Kitsap, WA",26,5200,7400,"$13,995",Kitsap / Poulsbo,https://assets-cdn.interactcp.com/interactrv/unit_tag/tag_45.png?modified=0428202519374618
"Stock #32768Everett, WA",Used,On Lot,Travel Trailer,2023,"Used 2023 Dutchmen RV Coleman 17BStock #32768Everett, WA",26,5200,7400,"$14,995",Everett,https://assets-cdn.interactcp.com/interactrv/unit_tag/tag_1272.png?modified=0428202519374618
"Stock #E0081Portland, OR",Used,On Lot,Travel Trailer,2024,"Used 2024 Jayco Jay Flight SLX 183RBWStock #E0081Portland, OR",26,5200,7400,"$16,987",Portland / Clackamas,https://assets-cdn.interactcp.com/interactrv/unit_tag/tag_45.png?modified=0428202519374618
"Stock #17619Everett, WA",Used,On Lot,Travel Trailer,2018,"Used 2018 Keystone RV Passport 239MLWE ExpressStock #17619Everett, WA",26,5200,7400,"$17,995",Everett,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0417202619154469/unit_photo_202508090229079917159949.jpg
"Stock #18842Tacoma, WA",Used,On Lot,Travel Trailer,2021,"Used 2021 Forest River RV Flagstaff E-Pro E15TBStock #18842Tacoma, WA",26,5200,7400,"$18,995",Tacoma,https://assets-cdn.interactcp.com/interactrv/unit_tech_drawing/imgh_400x300-m0428202519374618/unit_tech_drawing_202011300123176728709738.jpg
"Stock #17173Tacoma, WA",Used,On Lot,Travel Trailer,2021,"Used 2021 Forest River RV Flagstaff E-Pro E19FDStock #17173Tacoma, WA",26,5200,7400,"$18,995",Tacoma,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0806202621404344/unit_photo_202608060940434451051731.jpg
"Stock #92855Tacoma, WA",Used,On Lot,Travel Trailer,2019,"Used 2019 Heartland Mallard 245Stock #92855Tacoma, WA",26,5200,7400,"$18,995",Tacoma,https://assets-cdn.interactcp.com/interactrv/unit_tech_drawing/imgh_400x300-m0428202519374618/unit_tech_drawing_201809140147487794491224.jpg
"Stock #49505Everett, WA",Used,On Lot,Travel Trailer,2016,"Used 2016 TAXA Outdoors Cricket TrekStock #49505Everett, WA",26,5200,7400,"$18,995",Everett,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0717202618372384/unit_photo_202607170637238435466545.jpg
"Stock #11277Tacoma, WA",Used,On Lot,Travel Trailer,2025,"Used 2025 Keystone RV Passport Classic 190RDStock #11277Tacoma, WA",26,5200,7400,"$19,995",Tacoma,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201705240801040725998314.jpg?modified=0428202519374618
"Stock #26948Everett, WA",Used,On Lot,Travel Trailer,2019,"Used 2019 Forest River RV Flagstaff Micro Lite 25BRDSStock #26948Everett, WA",26,5200,7400,"$19,999",Everett,https://assets-cdn.interactcp.com/interactrv/unit_tech_drawing/imgh_400x300-m0428202519374618/unit_tech_drawing_201812040220209229666130.jpg
"Stock #30460Everett, WA",Used,On Lot,Travel Trailer,2020,"Used 2020 Heartland Wilderness 2002RDStock #30460Everett, WA",26,5200,7400,"$19,999",Everett,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0417202619154469/unit_photo_202508090216184081693758.jpg
